Artist,Title,Medium,Medium_classified,Acquistion_classified,Year_acquisition,Gender_classified,Artist_birth_year,Artist_death_year,Country_calculated,Date_creation_year
Venny Soldan-Brofeldt,"Konsertti tamburiinilla ja metsästystorvella, oikealla Heikki Järnefelt",,graphics,,,,1863,1945,,
Ottilia Adelborg,Harjoitelma seisovasta naisesta,,graphics,,,,1855,1936,,1896
Oscar Kleineh,Purjevene,,graphics,,1944,,1846,1919,,
Maria Wiik,Naisen muotokuva,,painting,,,,1853,1928,,1913
Berndt Lindholm,Kuhilaspelto,,graphics,,,,1841,1914,,1895
Elga Sesemann,Muotokuva,,graphics,,,,1922,2007,,1947
Juho Forsell,Vanha eukko,,painting,,1939,,1853,1939,,1888
Adolf von Becker,Poika ja paperileija,,painting,,,,1831,1909,,1863
Tapani Raittila,"Croquis, seisova nainen",,graphics,,,,1921,2018,,1982
Matti Visanti,Esityö Kantelettaren litografiakuvitukseen,,graphics,,,,1885,1957,,
Carl Eneas Sjöstrand,Kaksi siluettia Erik Johan Löfgrenistä,,graphics,,,,1828,1906,,
Lennart Segerstråle,Aurinko pilkistää,,painting,,,,1892,1975,,
Matti Visanti,Esityö Legendojen litografiakuvitukseen,,graphics,,,,1885,1957,,1939
Matti Visanti,Esityö Kantelettaren litografiakuvitukseen,,graphics,,,,1885,1957,,
Carl Eneas Sjöstrand,Näköala Liperin kirkontornista,,graphics,,,,1828,1906,,1857
Berndt Lindholm,Rantakallioita,,graphics,,,,1841,1914,,
Berndt Lindholm,"Pata kivien välissä, harjoitelma",,painting,,,,1841,1914,,
Henry Ericsson,Luonnos eduskuntatalon suuren valiokunnan istuntosalin seinämaalauskilpailua varten,,painting,,,,1898,1933,,1930
Eero Järnefelt,Jean Sibelius,,graphics,,,,1863,1937,,
Venny Soldan-Brofeldt,Koira ja taluttaja,,graphics,,,,1863,1945,,
Maria Wiik,Saaristomaisema,,painting,,,,1853,1928,,1916
Matti Visanti,Esityö Kantelettaren litografiakuvitukseen,,graphics,,,,1885,1957,,
Henry Ericsson,"Luonnoskirja, 8 lehteä",,graphics,,,,1898,1933,,1930
Julia Stigzelius-de Cock,Piirustus,,graphics,,,,1840,1923,,
Fanny Churberg,Talvimaisema,,painting,,,,1845,1892,,1880
,Kauneus,,graphics,,,,1912,1976,,1975
Julia Stigzelius-de Cock,Maisema,,graphics,,,,1840,1923,,
Alfred William Finch,Rantakallioita,,graphics,,,,1854,1930,,
Fanny Churberg,Tyttöjä rannalla,,painting,,,,1845,1892,,1869
Aino von Boehm,Kesähattu (Omakuva),,painting,,,,1892,1939,,1930
Lennart Segerstråle,"Nainen lapsi sylissä, harjoitelma Suomen Pankin freskoa varten",,graphics,,,,1892,1975,,1942
Josef Hegenbarth,Pojan pää,,graphics,,,,1884,,,1910
Oscar Kleineh,Rannikkomaisema rakennuksineen ja aluksineen,,graphics,,1944,,1846,1919,,
Oscar Kleineh,Tuolilla istuva mies,,graphics,,1944,,1846,1919,,1866
Oscar Kleineh,Puulaatikon päällä istuva mies,,graphics,,1944,,1846,1919,,1866
Oscar Kleineh,Rantamaisema,,painting,,1944,,1846,1919,,
Lennart Segerstråle,"Toivo, luonnos Suomen Pankin Freskoa varten",,graphics,,,,1892,1975,,1939
Oscar Kleineh,Holm Gård,,graphics,,1944,,1846,1919,,1868
Oscar Kleineh,Rantamaisema,,graphics,,1944,,1846,1919,,
Oscar Kleineh,Rantakiviä,,graphics,,1944,,1846,1919,,
Oscar Kleineh,Purjelaiva,,graphics,,1944,,1846,1919,,
Oscar Kleineh,Purjeveneen keula,,graphics,,1944,,1846,1919,,
Carl von Kügelgen,Maisema Tampereen ja Turun väliltä,,graphics,,,,1772,1832,,1818
Giacomo Manzù,"Salkusta Gli Amanti di Manzù, nro 4",,graphics,,,,1908,,,1979
André Verdilhan,Ligue navale (juliste),,graphics,,,,,,,1916
Oscar Kleineh,Purjelaiva,,graphics,,1944,,1846,1919,,
Elga Sesemann,Veturi ja nainen,,painting,,,,1922,2007,,1968
Hjalmar Hagelstam,Vanhahkon miehen pää nähtynä edestä,,graphics,,,,1899,1941,,1937
Oscar Kleineh,"Taitettu paperi, jossa etusivulla purjeveneitä saaristomaisemassa",,graphics,,1944,,1846,1919,,
Oscar Kleineh,Piirustuksen alaosa ; Mies ja koira vanhan hautausmaan läpi kulkevalla tiellä,,graphics,,1944,,1846,1919,,
Carl von Kügelgen,Maisema Tampereen ja Turun väliltä,,graphics,,,,1772,1832,,1818
Lennart Segerstråle,"Sureva nainen, harjoitelma Suomen Pankin freskoa varten",,graphics,,,,1892,1975,,1942
Oscar Kleineh,Merimaisemia ja purjeveneitä,,graphics,,1944,,1846,1919,,
Oscar Kleineh,Saari,,graphics,,1944,,1846,1919,,
Oscar Kleineh,"Mies ja nainen, yksityiskohta jonkin vanhan mestarin maalauksesta ; akatemiaharjoitelma",,graphics,,1944,,1846,1919,,1866
Oscar Kleineh,"Saaristomaisema, akvarelli ; mastoilla varustettu höyrylaiva, lyijykynäluonnos ; pienikokoinen rakennusryhmä, tussipiirustus",,graphics,,1944,,1846,1919,,
Oscar Kleineh,Purjelaivoja ja  soutuveneitä,,graphics,,1944,,1846,1919,,
Viljo Hurme,Nuoria mäntyjä,,graphics,,,,1893,1987,,1937
Oscar Kleineh,Monrepos,,graphics,,1944,,1846,1919,,1870
Lennart Segerstråle,"Suomi rakentaa, sommitteluluonnos Suomen Pankin freskoa varten",,graphics,,,,1892,1975,,1942
Oscar Kleineh,Rantamaisema Rönnskäristä,,graphics,,1944,,1846,1919,,
Oscar Kleineh,"Purjeveneitä, kaksipuolinen teos",,graphics,,1944,,1846,1919,,
Akseli Gallen-Kallela,Hevosreessä ja muita harjoitelmia,,graphics,,,,1865,1931,,
Akseli Gallen-Kallela,"Ett Julminne, luonnos",,graphics,,,,1865,1931,,
Oscar Kleineh,Saaristomaisema,,graphics,,1944,,1846,1919,,
Lennart Segerstråle,"Aseveli, harjoitelma Suomen Pankin freskoa varten",,graphics,,,,1892,1975,,1941
Viljo Hurme,Männyntaimia,,graphics,,,,1893,1987,,1937
Oscar Kleineh,Kaksi lehtipuuta,,graphics,,1944,,1846,1919,,1865
Oscar Kleineh,Koria maasta ottamaan kumartuva nainen,,graphics,,1944,,1846,1919,,1866
Pentti Kaskipuro,"luonnos, polvistunut mies",,graphics,,,,1930,2010,,1975
Oscar Kleineh,Panoraama Helsingin Etelä-satamasta,,graphics,,1944,,1846,1919,,
Oscar Kleineh,"Rantamaisema, Saari, kaksipuolinen teos",,graphics,,1944,,1846,1919,,
Oscar Kleineh,"Rantamaisema kaupungista, kaksipuoleinen teos",,graphics,,1944,,1846,1919,,
Oscar Kleineh,Purjevene,,graphics,,1944,,1846,1919,,
Oscar Kleineh,Meriaiheita ja purjelaivoja,,graphics,,1944,,1846,1919,,
Oscar Kleineh,"6 pientä piirrosta purjelaivoista, 3 soutuveneistä ja yksi höyrylaivasta liimattuna samalle paperille",,graphics,,1944,,1846,1919,,
Oscar Kleineh,Purjevene merellä,,graphics,,1944,,1846,1919,,
Oscar Kleineh,"Kipsinen käsi, akatemiaharjoitelma",,graphics,,1944,,1846,1919,,1867
Oscar Kleineh,Rantakallio,,painting,,1944,,1846,1919,,
Oscar Kleineh,Purjelaivoja ja soutuveneitä,,graphics,,1944,,1846,1919,,
Oscar Kleineh,Pihlajasaaren venelaituri,,painting,,1944,,1846,1919,,
Oscar Kleineh,Satama,,graphics,,1944,,1846,1919,,
Eino Ruutsalo,Sirkus,,graphics,,,,1921,2001,,1956
Akseli Gallen-Kallela,Harjoitelmia ja tuherruksia,,graphics,,,,1865,1931,,
Jens Søndergaard,Iltamaisema,,painting,,,,1895,1957,,1949
Oscar Kleineh,"Kipsinen miehen rintakuva, akatemiaharjoitelma",,graphics,,1944,,1846,1919,,1867
Wilhelm von Wright,Hanhi,,graphics,,1944,,1810,1887,,
Akseli Gallen-Kallela,"Rouva ja palvelijatar, harjoitelma",,graphics,,,,1865,1931,,
Oscar Kleineh,"Rantamaisema, Florö",,painting,,1944,,1846,1919,,1886
Oscar Kleineh,Aleksanteri Suuri,,graphics,,1944,,1846,1919,,1863
Oscar Kleineh,"Miehen nenä, korva, suu ja silmä profiilista",,graphics,,1944,,1846,1919,,1866
Per Åke Laurén,Sateen jälkeen,,painting,,,,1879,1951,,1944
Oscar Kleineh,Talo ja portti,,graphics,,1944,,1846,1919,,
Oscar Kleineh,Kopio Hilgersin mukaan ; Osa vanhasta ristikkorakennuksesta,,graphics,,1944,,1846,1919,,1866
Oscar Kleineh,"Neljä merimaisemaa, kaksipuoleinen teos",,graphics,,1944,,1846,1919,,
Akseli Gallen-Kallela,Espanjalainen tanssijatar,,graphics,,,,1865,1931,,
Oscar Kleineh,"Merimaisema, Purjelaiva, kaksipuolinen teos",,graphics,,1944,,1846,1919,,
Oscar Kleineh,Neljä merimaisemaa,,graphics,,1944,,1846,1919,,
Lennart Segerstråle,"Finland bygger upp, komp.skiss",,painting,,,,1892,1975,,1941
Lennart Segerstråle,"Naisen profiili, harjoitelma Suomen pankin freskoa varten",,graphics,,,,1892,1975,,1942
Oscar Kleineh,Höyrylaivaharjoitelma piirettynä diplomilta näyttävän pahvin kääntöpuolelle,,graphics,,1944,,1846,1919,,
Akseli Gallen-Kallela,"Neljä balleriinaa ja muita tanssijoita, harjoitelmia",,graphics,,,,1865,1931,,
Mino Maccari,Käpertynyt nainen sisällään viisi naisenpäätä,,graphics,,,,,,,1960
Elga Sesemann,Nainen ja lapsi,,graphics,,,,1922,2007,,1947
Frans Maexmontan,"Neljä maisemaa liimattuna samalle pahville: kuutamo merellä, saari ja purjevene sekä kolme rantamaisemaa kalastajamajoineen",,graphics,,,,1847,1901,,
Oscar Kleineh,Kaksi purjevenettä ; Merimaisema (kaksipuolinen teos),,graphics,,1944,,1846,1919,,
Oscar Kleineh,"Talonpoikaisrakennus tunturin juurella, lahden rannalla",,painting,,1944,,1846,1919,,1886
Oscar Kleineh,"Höyrylaiva ja purjeveneitä, kaksipuolinen teos",,graphics,,1944,,1846,1919,,
Oscar Kleineh,"Merimaisema, jossa purjealus ja soutuvene",,graphics,,1944,,1846,1919,,
Oscar Kleineh,Purjealuksia merellä ja soutuvene,,graphics,,1944,,1846,1919,,
Oscar Kleineh,"Kaksi purjevenettä, Purjevene, kaksipuoleinen teos",,graphics,,1944,,1846,1919,,
Oscar Kleineh,"Henkilötutkielma Raffaellon maalauksesta Kristuksen kirkastus, akatemiaharjoitelma",,graphics,,1944,,1846,1919,,1866
Lennart Segerstråle,"Äiti ja lapsi, harjoitelma Suomen Pankin freskoa varten",,graphics,,,,1892,1975,,1942
Lennart Segerstråle,"Rakentajia, sommitteluluonnos Suomen Pankin freskoa varten",,graphics,,,,1892,1975,,1939
Lennart Segerstråle,Suomi rakentaa,,painting,,,,1892,1975,,1942
Oscar Kleineh,"Höyry- ja purjeveneluonnoksia, kaksipuoleinen teos",,graphics,,1944,,1846,1919,,
Oscar Kleineh,Niemenkärki,,graphics,,1944,,1846,1919,,
Louis Sparre,Pojanpää,,graphics,,,,1863,1964,,1889
Oscar Kleineh,"Jalka, akatemiaharjoitelma",,graphics,,1944,,1846,1919,,1867
Oscar Kleineh,"Merimaisemia, purje- ja soutuveneitä, ankkuri ja katukuva",,graphics,,1944,,1846,1919,,
Akseli Gallen-Kallela,Harjoitelma,,graphics,,,,1865,1931,,
Akseli Gallen-Kallela,"Laivoja eteläsatamassa, luonnos",,painting,,,,1865,1931,,
Akseli Gallen-Kallela,"Kolme seisovaa miestä, harjoitelmia",,graphics,,,,1865,1931,,
Gerhard Musikka,Toinen kohtaus: Toverit lukevat Työmiestä (Kamraterna läsa Työmies),,painting,,,,,,,
Elga Sesemann,Miehen muotokuva (Seppo Näätänen),,graphics,,,,1922,2007,,1947
Oscar Kleineh,Nainen kori selässään,,graphics,,1944,,1846,1919,,1866
Oscar Kleineh,"Meri, kallioluodot ja alukset ; alareunassa ja paperin takana purjeveneharjoitelmia (kaksipuolinen teos)",,graphics,,1944,,1846,1919,,
Oscar Kleineh,Yksitoista pientä purjelaiva- ja veneaiheista piirustusta,,graphics,,1944,,1846,1919,,
Oscar Kleineh,Merimaisema,,graphics,,1944,,1846,1919,,
Sulho Sipilä,Aihe Kauniaisista,,painting,,,,1895,1949,,
Oscar Kleineh,Jacob,,graphics,,1944,,1846,1919,,1863
Oscar Kleineh,Rantamaisema,,graphics,,1944,,1846,1919,,
Oscar Kleineh,Italialainen vuoristomaisema,,graphics,,1944,,1846,1919,,1868
Oscar Kleineh,"Rantamaisemia ja purjeveneitä, kaksipuolinen teos",,graphics,,1944,,1846,1919,,
Lennart Segerstråle,"Istuva nainen, harjoitelma Suomen Pankin freskoa varten",,graphics,,,,1892,1975,,1942
Oscar Kleineh,Kolme purjeveneharjoitelmaa,,graphics,,1944,,1846,1919,,
Oscar Kleineh,Purjelaivaluonnoksia paperin molemmilla puolilla,,graphics,,1944,,1846,1919,,1876
Lennart Segerstråle,"Vaara ilmasta, luonnos Suomen Pankin freskoa varten",,graphics,,,,1892,1975,,1942
Lennart Segerstråle,"Rakentajat, luonnos Suomen Pankin freskoa varten",,graphics,,,,1892,1975,,1939
Oscar Kleineh,"Jalkateriä ja käsiä, akatemiaharjoitelma",,graphics,,1944,,1846,1919,,1866
Oscar Kleineh,"Kaksi tyttöä, toinen istuu puulaatikon päällä, toinen korokkeen reunalla puulaatikkoon nojaten",,graphics,,1944,,1846,1919,,1866
Oscar Kleineh,"Purjevene, kaksipuoleinen teos",,graphics,,1944,,1846,1919,,
Oscar Kleineh,Purjealus myötäisessä,,graphics,,1944,,1846,1919,,
Carolus Lindberg,"Piirustus pilalehti ""Fyreniä"" varten.",,graphics,,,,1889,1955,,
Oscar Kleineh,Kaksimastoine purjealus,,graphics,,1944,,1846,1919,,
Carolus Lindberg,"Piirustus pilalehti ""Fyreniä"" varten.",,graphics,,,,1889,1955,,
Hubert Berke,Naismuotokuva,,graphics,,,,,,,1935
Oscar Kleineh,Miehen muotokuva,,graphics,,1944,,1846,1919,,
Akseli Gallen-Kallela,Isä lukee pikku Saimalle Mirzasta ja Mirjamista,,graphics,,,,1865,1931,,1886
Oscar Kleineh,"Arkhimeden oppilaan pää, kopio Rafaelin mukaan ; akatemiaharjoitelma",,graphics,,1944,,1846,1919,,1867
Oscar Kleineh,"Purjelaivoja,soutuveneitä ja höyrylaiva",,graphics,,1944,,1846,1919,,
Oscar Kleineh,Purjealus,,graphics,,1944,,1846,1919,,
Oscar Kleineh,Purjevene,,graphics,,1944,,1846,1919,,
Oscar Kleineh,Purjevene,,graphics,,1944,,1846,1919,,
Oscar Kleineh,Merimaisema,,graphics,,1944,,1846,1919,,
Oscar Kleineh,Purjevene- ja merimaisemaluonnoksia,,graphics,,1944,,1846,1919,,
Oscar Kleineh,"Kahdessa paperissa harjoitelmia kivimuurin oviaukoista, purjeveneistä, henkilöistä ja ornamenteista, hevosrattaista ym.",,graphics,,1944,,1846,1919,,
A. Liewendal,"Seisova nainen, yllään antiikkinen puku",,graphics,,,,,,,
Marcus Collin,Tietyö,,painting,,,,1882,1966,,1943
Verner Thomé,Kirjailija Emil Eleniuksen muotokuva,,painting,,,,1878,1953,,1903
C. Meurling,Purjeveneaiheinen vinjetti,,graphics,,,,,,,
Oscar Kleineh,Näköala Hanasaaresta,,painting,,1944,,1846,1919,,1873
Frans Maexmontan,Neljä piirustusta liimattuna samalle pahville: rantamaisemia,,graphics,,,,1847,1901,,
Akseli Gallen-Kallela,"Miehen profiili, harjoitelma",,graphics,,,,1865,1931,,1908
Oscar Kleineh,Purjeveneluonnoksia,,graphics,,1944,,1846,1919,,
Oscar Kleineh,Rantakallioita ja purjeveneitä,,graphics,,1944,,1846,1919,,
Akseli Gallen-Kallela,"Kaiserlich deutsch, sotilashenkilöitä ja pussihousuinen sotilaspoika",,graphics,,,,1865,1931,,
Aarne Niinivirta,"Pyhimys ja surevat naiset, luonnos",,painting,,,,1906,1942,,1941
Oscar Kleineh,Kaksimastoinen höyryalus,,graphics,,1944,,1846,1919,,
Lennart Segerstråle,"Suomi rakentaa, sommitteluluonnos Suomen Pankin freskoa varten",,graphics,,,,1892,1975,,1942
Lennart Segerstråle,"Istuva nainen, harjoitelma Suomen Pankin freskoa varten",,graphics,,,,1892,1975,,1942
Oscar Kleineh,Purjevene ja soutuvene vesillä,,graphics,,1944,,1846,1919,,
Charles Walch,Keltainen maljakko ja kaksi lasta,,painting,,,,1898,1948,,1946
Akseli Gallen-Kallela,"Pöydän ääressä istuva virkamies, henkilötutkielma",,graphics,,,,1865,1931,,
Marcus Collin,Kirkossa,,painting,,,,1882,1966,,1944
Yrjö Ollila,Jalo Sihtolan muotokuva,,painting,,,,1887,1932,,1910
Väinö Hämäläinen,Karjalaisia ajomiehiä,,graphics,,,,1876,1940,,1901
Gerhard Musikka,Kolmas kohtaus: Toverit päättävät toimia (Kamraterna besluta handla),,painting,,,,,,,
Carolus Lindberg,"Piirustus pilalehti ""Fyreniä"" varten.",,graphics,,,,1889,1955,,
Magnus Enckell,Musiikkia,,graphics,,,,1870,1925,,1906
Oscar Kleineh,Puulaatikon päällä istuva verkkoja korjaava mies,,graphics,,1944,,1846,1919,,1866
Oscar Kleineh,Kaupunkikuva,,graphics,,1944,,1846,1919,,1867
Oscar Kleineh,Ristiretki-aiheinen(?) kopio,,graphics,,1944,,1846,1919,,1866
Oscar Kleineh,"Henkilötutkielma Raffaellon maalauksesta Kristuksen kirkastus, akatemiaharjoitelma",,graphics,,1944,,1846,1919,,1866
Oscar Kleineh,Seisova nainen,,graphics,,1944,,1846,1919,,1866
Oscar Kleineh,Heinikolla selin lepäävä mies ; Mies ja maihin vedetty vene,,painting,,1944,,1846,1919,,1883
Oscar Kleineh,Istuva keppiin nojaava nainen kori selässä,,graphics,,1944,,1846,1919,,1866
Oscar Kleineh,Purjevene,,graphics,,1944,,1846,1919,,
Oscar Kleineh,Kaksi kuvaa puujalustan päällä istuvasta pojasta,,graphics,,1944,,1846,1919,,
Oscar Kleineh,Purjelaivan maston yläosa,,graphics,,1944,,1846,1919,,
Oscar Kleineh,Rantamaisema,,graphics,,1944,,1846,1919,,1875
Oscar Kleineh,Puutalon pääty,,painting,,1944,,1846,1919,,
Oscar Kleineh,Miehen muotokuva,,graphics,,1944,,1846,1919,,1865
Carolus Lindberg,"Piirustus pilalehti ""Fyreniä"" varten.",,graphics,,,,1889,1955,,
Akseli Gallen-Kallela,Hylättyjä sivukuvaharjoitelmia,,graphics,,,,1865,1931,,
Akseli Gallen-Kallela,"Naisen muotokuva, harjoitelmia",,graphics,,,,1865,1931,,
Akseli Gallen-Kallela,"Kansan mies, harjoitelma",,graphics,,,,1865,1931,,
Magnus Enckell,Makaava alaston naismalli,,graphics,,,,1870,1925,,1908
Oscar Kleineh,Rantamaisema purjeveneineen ja henkilöineen,,graphics,,1944,,1846,1919,,
Oscar Kleineh,11 pientä meri- ja purjelaiva-aiheista piirustusta liimattuna samalle paperille,,graphics,,1944,,1846,1919,,
Oscar Kleineh,"Miehen rintakuva, akatemiaharjoitelma",,graphics,,1944,,1846,1919,,1866
Oscar Kleineh,Merimaisema,,graphics,,1944,,1846,1919,,
Oscar Kleineh,Hattupäinen mies askarissaan,,graphics,,1944,,1846,1919,,
Oscar Kleineh,"Talonpoikaistalo, kopio Hans Guden mukaan",,graphics,,1944,,1846,1919,,1868
Oscar Kleineh,"Purjevene- ja maisemaluonnoksia, kaksipuoleinen teos",,graphics,,1944,,1846,1919,,
Oscar Kleineh,Miehen muotokuva,,graphics,,1944,,1846,1919,,1862
Oscar Kleineh,Purjeveneitä merellä,,graphics,,1944,,1846,1919,,
Oscar Kleineh,Seisova nainen,,graphics,,1944,,1846,1919,,1866
Oscar Kleineh,Rantamaisema,,graphics,,1944,,1846,1919,,
Oscar Kleineh,Merimaisema aluksineen,,graphics,,1944,,1846,1919,,
Akseli Gallen-Kallela,"Reif von Reiflingen, Olkihattuinen mies, harjoitelma",,graphics,,,,1865,1931,,
Akseli Gallen-Kallela,Erilaisia nopeita harjoitelmia,,graphics,,,,1865,1931,,
Akseli Gallen-Kallela,"Varietee -tyyppejä, ynnä muita harjoitelmia",,graphics,,,,1865,1931,,
Eero Järnefelt,Gunnar Berndtsonin muotokuva,,painting,,,,1863,1937,,1892
Oscar Kleineh,Purjelaiva,,graphics,,1944,,1846,1919,,
Oscar Kleineh,Kolme harjoitelmaa purjealuksesta merellä,,graphics,,1944,,1846,1919,,
Oscar Kleineh,"Rantamaisema ; Merimaisema- ja rantakiviharjoitelmia, kaksipuolinen teos",,graphics,,1944,,1846,1919,,
Oscar Kleineh,Rantamaisema,,graphics,,1944,,1846,1919,,
Oscar Kleineh,Metsästäjä,,graphics,,1944,,1846,1919,,1866
Lennart Segerstråle,"Istuva nuori nainen, harjoitelma Suomen Pankin freskoa varten",,graphics,,,,1892,1975,,1941
Oscar Kleineh,"Luonnoksia soutu- ja purjeveneistä, seisova poika, rantamaisema",,graphics,,1944,,1846,1919,,
Oscar Kleineh,"Purjealus, Kaksi merimaisemaa purjeveneineen, kaksipuolinen teos",,graphics,,1944,,1846,1919,,
Oscar Kleineh,Merimaisemia ja lokkiaiheinen piirros,,graphics,,1944,,1846,1919,,
Oscar Kleineh,"Miesmalli, joka nojaa polvellaan ja käsivarrellaan korokkeeseen ; akatemiaharjoitelma",,graphics,,1944,,1846,1919,,1869
Oscar Kleineh,"10 pientä lyijykynä- ja tussipiirustusta liimattuna samalle paperille ; aiheena rantamaisemat, purjelaivat, höyrylaivat ja soutuvene",,graphics,,1944,,1846,1919,,
Oscar Kleineh,Mies kävelykeppiin sidottu nyytti olalla,,graphics,,1944,,1846,1919,,1866
Oscar Kleineh,Istuva naismalli,,graphics,,1944,,1846,1919,,1866
Magnus Enckell,"Äiti, aihe Tampereen tuomikirkon alttarifreskosta",,graphics,,,,1870,1925,,1907
Oscar Kleineh,"Vene, jossa kaksi miestä",,graphics,,1944,,1846,1919,,
Oscar Kleineh,Lehtipuun oksistoa,,graphics,,1944,,1846,1919,,1868
Oscar Kleineh,"Mytologinen mieshahmo, akatemiaharjoitelma",,graphics,,1944,,1846,1919,,1866
Oscar Kleineh,Rantamaisema,,graphics,,1944,,1846,1919,,
Oscar Kleineh,Rantamaisema,,graphics,,1944,,1846,1919,,
Oscar Kleineh,"Varhainen höyrylaiva, kaksipuolinen teos",,graphics,,1944,,1846,1919,,
Oscar Kleineh,Rantamaisema ; Kolme rantamaisemaharjoitelmaa (kaksipuolinen teos),,graphics,,1944,,1846,1919,,1885
Akseli Gallen-Kallela,Prof. E.R. Neoviuksen muotokuva,,painting,,,,1865,1931,,1898
Oscar Kleineh,Rantakiviä,,graphics,,1944,,1846,1919,,
Oscar Kleineh,Luonnoksia kirkontorneista,,graphics,,1944,,1846,1919,,
Lennart Segerstråle,"Rakentajat, luonnos Suomen Pankin freskoa varten",,graphics,,,,1892,1975,,1939
Oscar Kleineh,"9 pientä piirustusta liimattuna samalle paperille ; ylimpänä kaksi soutuvene-piirrosta, muut merimaisemia ja laiva- sekä venepiirustuksia",,graphics,,1944,,1846,1919,,
Oscar Kleineh,"Henkilötutkielma Raffaellon maalauksesta Kristuksen kirkastus, akatemiaharjoitelma",,graphics,,1944,,1846,1919,,1866
Oscar Kleineh,Mastoilla varustettu höyrylaiva,,graphics,,1944,,1846,1919,,
Oscar Kleineh,"Rantamaisema, Pensasharjoitelma,kaksipuolinen teos",,graphics,,1944,,1846,1919,,
Oscar Kleineh,Purjelaivaluonnos paperin molemmilla puolilla,,graphics,,1944,,1846,1919,,
Oscar Kleineh,"Harjoitelmia kivistä, veneistä ja purjeveneistä",,graphics,,1944,,1846,1919,,
Oscar Kleineh,15 pientä meriaiheista piirustusta,,graphics,,1944,,1846,1919,,
Oscar Kleineh,"Seitsemän pientä lyijykynäpiirustusta ja kolme tussipiirustusta liimattuna samalle paperille, aiheina höyrylaivat, purjeveneet, soutuvene, merimaisema",,graphics,,1944,,1846,1919,,
Oscar Kleineh,"Istuva miesmalli, akatemiaharjoitelma",,graphics,,1944,,1846,1919,,1869
Oscar Kleineh,Purjelaiva,,graphics,,1944,,1846,1919,,
Oscar Kleineh,Kota,,graphics,,1944,,1846,1919,,1866
Lennart Segerstråle,"Suomi-äiti, sommitteluluonnos Suomen Pankin freskoa varten",,graphics,,,,1892,1975,,1941
Oscar Kleineh,Neljä piirustusta liimattuna samalle paperille ; aiheena purjelaivat ja purjeveneet,,graphics,,1944,,1846,1919,,
Oscar Kleineh,"Purje- ja soutuveneharjoitelmia, kaksipuoleinen teos",,graphics,,1944,,1846,1919,,
Oscar Kleineh,Oikeanpuoleinen reuna kaupunki-aiheisesta piirustuksesta,,graphics,,1944,,1846,1919,,
Oscar Kleineh,"Jalkaterä, akatemiaharjoitelma",,graphics,,1944,,1846,1919,,1867
,Kehotus Suomen naisille,,graphics,,,,,,,1896
Oscar Kleineh,"Kuusi pientä piirustusta liimattuna samalle paperille ; aiheena talvimerenkulku, merimaisemat purjelaivoineen ja soutuveneineen sekä purjelaiva",,graphics,,1944,,1846,1919,,
Atte Laitila,Mandoliini ja pullo,,painting,,,,1893,1972,,1944
Lennart Segerstråle,"Äiti ja lapsi, Suomen Pankin freskoa varten",,graphics,,,,1892,1975,,1941
Oscar Kleineh,"Melkein selin seisova miesmalli, akatemiaharjoitelma",,graphics,,1944,,1846,1919,,1867
Oscar Kleineh,Mastoilla varustettu höyrylaiva,,graphics,,1944,,1846,1919,,
Oscar Kleineh,"Purje- ja soutuveneitä, Nainen, lapsi ja koira",,graphics,,1944,,1846,1919,,
Oscar Kleineh,"Purjeveneluonnoksia, kaksipuoleinen teos",,graphics,,1944,,1846,1919,,
Oscar Kleineh,Kivellä istuva hattupäinen nainen,,graphics,,1944,,1846,1919,,1866
Oscar Kleineh,Seisova nainen kori selässä,,graphics,,1944,,1846,1919,,1866
Oscar Kleineh,"Purjeveneluonnoksia, Merimaisemaluonnos purjeveneineen, kaksipuolinen teos",,graphics,,1944,,1846,1919,,
Viljo Hurme,Lampaita,,painting,,,,1893,1987,,1915
Oscar Kleineh,Purjevene,,graphics,,1944,,1846,1919,,
Oscar Kleineh,"Lapsen ja naisen kasvot edestä ja sivulta, akatemiaharjoitelma",,graphics,,1944,,1846,1919,,1860
Oscar Kleineh,Purjelaiva,,graphics,,1944,,1846,1919,,
Oscar Kleineh,"Kaupunkikuva mereltä päin nähtynä, keskeneräinen",,painting,,1944,,1846,1919,,
Akseli Gallen-Kallela,"Perissa Grigolatis, tanssijatar ja tyyppejä yleisön lehtereillä",,graphics,,,,1865,1931,,
Alvar Cawén,Eeva-Stiina,,painting,,,,1886,1935,,1925
Magnus Enckell,Makaava alaston naismalli,,graphics,,,,1870,1925,,1908
Oscar Kleineh,Purjealus ja luoto,,graphics,,1944,,1846,1919,,
Oscar Kleineh,8 meri- ja purjeveneaiheista piirustusta liimattuna samalle paperille,,graphics,,1944,,1846,1919,,
Oscar Kleineh,Näköala Karlsruhesta,,graphics,,1944,,1846,1919,,1867
Lennart Segerstråle,"Suomi rakentaa, sommitteluluonnos Suomen Pankin freskoa varten",,graphics,,,,1892,1975,,1942
Oscar Kleineh,"Merimaisema, Purjelaivan kunnostus",,graphics,,1944,,1846,1919,,
Lennart Segerstråle,"Rakentajat, luonnos Suomen Pankin freskoa varten",,graphics,,,,1892,1975,,1939
Oscar Kleineh,Purjealus,,graphics,,1944,,1846,1919,,
Oscar Kleineh,Kopio Hilgersin mukaan ; Tavaroita saksalaisen maalaistalon ulkoseinustalla,,graphics,,1944,,1846,1919,,1866
Oscar Kleineh,Jalka,,graphics,,1944,,1846,1919,,1867
